IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.153.124	2c:3e:cf:fb:d9:51	0	1	0	0	0	0	0	0	12.5
172.17.153.111	8c:ec:4b:ce:e1:3d	0	0	0	0	0	0	0	0	0.0
172.17.153.102	e4:a8:df:97:84:5c	0	0	0	0	0	0	0	0	0.0
172.17.152.84	b0:00:b4:58:5c:1e	0	1	0	0	0	0	0	0	12.5
172.17.158.78	2c:3e:cf:fb:e7:7a	0	0	0	0	0	0	0	0	0.0
172.17.154.213	2c:3e:cf:fb:ec:b0	0	0	0	0	0	0	0	0	0.0
172.17.154.215	2c:3e:cf:fb:ea:6c	0	0	0	0	0	0	0	0	0.0
172.17.155.112	2c:3e:cf:fb:e7:23	0	1	0	0	0	0	0	0	12.5
172.17.152.44	2c:3e:cf:fb:ce:37	0	0	0	0	0	0	0	0	0.0
172.17.155.75	2c:3e:cf:fb:d8:2f	0	1	0	0	0	0	0	0	12.5
172.17.152.57	2c:3e:cf:fb:f0:50	0	0	0	0	0	0	0	0	0.0
172.17.156.252	2c:3e:cf:fb:cc:be	0	1	0	0	0	0	0	0	12.5
172.17.158.41	2c:3e:cf:fb:d0:b5	0	0	0	0	0	0	0	0	0.0
172.17.153.13	2c:3e:cf:fb:ec:ea	0	0	0	0	0	0	0	0	0.0
172.17.153.144	2c:3e:cf:fb:ef:68	0	1	0	0	0	0	0	0	12.5
172.17.152.201	2c:3e:cf:fb:e6:3b	0	0	0	0	0	0	0	0	0.0
172.17.153.73	00:e0:4c:52:f7:9c	0	0	0	0	0	0	0	0	0.0
172.17.152.246	2c:3e:cf:fb:e5:70	0	0	0	0	0	0	0	0	0.0
172.17.153.151	2c:3e:cf:fb:df:6f	0	1	0	0	0	0	0	0	12.5
172.17.153.15	2c:3e:cf:fb:e9:84	0	0	0	0	0	0	0	0	0.0
172.17.155.74	2c:3e:cf:fb:dd:9f	0	0	0	0	0	0	0	0	0.0
172.17.152.248	8c:ec:4b:55:dc:4a	0	0	0	0	0	0	0	0	0.0
172.17.155.48	8c:ec:4b:ce:79:96	0	0	0	0	0	0	0	0	0.0
172.17.153.158	8c:ec:4b:cf:28:ea	0	0	0	0	0	0	0	0	0.0
172.17.156.43	d4:3d:7e:48:64:27	0	0	0	0	0	0	0	0	0.0
172.17.154.251	e4:a8:df:9b:7a:df	0	0	0	0	0	0	0	0	0.0
172.17.154.76	e4:a8:df:9b:7c:7a	0	0	0	0	0	0	0	0	0.0
172.17.155.232	d4:3d:7e:48:60:91	0	0	0	0	0	0	0	0	0.0
172.17.156.235	e4:a8:df:9b:a6:e5	0	0	0	0	0	0	0	0	0.0
172.17.157.37	a4:bb:6d:8a:08:79	0	0	0	0	0	0	0	0	0.0
172.17.154.1	8c:ec:4b:ce:a7:a8	0	0	0	0	0	0	0	0	0.0
172.17.153.90	8c:ec:4b:ce:35:02	0	0	0	0	0	0	0	0	0.0
172.17.157.191	a4:bb:6d:8a:0b:c2	0	0	0	0	0	0	0	0	0.0
172.17.155.158	00:e0:4c:52:f7:63	0	0	0	0	0	0	0	0	0.0
172.17.144.1	1c:e6:c7:52:a7:00	0	0	0	0	0	0	0	0	0.0
172.17.156.231	8c:ec:4b:ce:78:fc	0	0	0	0	0	0	0	0	0.0
172.17.155.85	8c:ec:4b:55:db:a8	0	0	0	0	0	0	0	0	0.0
172.17.152.254	00:e0:4c:0b:3c:c2	0	0	0	0	0	0	0	0	0.0
172.17.152.250	2c:3e:cf:fb:ca:b4	0	1	0	0	0	0	0	0	12.5
172.17.155.111	48:4d:7e:e5:9d:9f	0	0	0	0	0	0	0	0	0.0
172.17.156.173	8c:ec:4b:4a:11:fd	0	0	0	0	0	0	0	0	0.0
172.17.155.126	48:4d:7e:e5:b4:30	0	0	0	0	0	0	0	0	0.0
172.17.153.117	8c:ec:4b:ce:5d:51	0	0	0	0	0	0	0	0	0.0
172.17.157.70	a4:bb:6d:8a:0d:98	0	0	0	0	0	0	0	0	0.0
172.17.154.40	58:11:22:85:99:42	0	0	0	0	0	0	0	0	0.0
172.17.152.182	8c:ec:4b:ce:e5:82	0	0	0	0	0	0	0	0	0.0
